customer_id,credit_score,geography,gender,age,tenure,num_of_products,balance,estimated_salary,has_credit_card,is_active_member,exited,age_group,balance_group,tenure_group,num_of_products_group
15647091,725,Germany,Male,19,0,1,75888.2,45613.8,FALSE,FALSE,FALSE,Young,Average Balance,New,1 Product
15713826,613,Germany,Female,20,0,1,117356.2,113557.7,FALSE,FALSE,TRUE,Young,High Balance,New,1 Product
15633840,781,France,Male,20,0,2,125023.1,108301.4,TRUE,TRUE,FALSE,Young,High Balance,New,2-3 Products
15769915,643,Spain,Female,20,0,1,133313.3,3965.7,TRUE,TRUE,FALSE,Young,High Balance,New,1 Product
15652674,539,France,Male,20,0,1,83459.9,146752.7,TRUE,TRUE,FALSE,Young,Average Balance,New,1 Product
15700864,607,France,Female,21,0,2,0,116106.5,TRUE,FALSE,FALSE,Young,No Balance,New,2-3 Products
15638730,711,France,Female,21,0,2,82844.3,1408.7,FALSE,TRUE,FALSE,Young,Average Balance,New,2-3 Products
15600710,620,France,Male,22,0,1,0,32589.5,TRUE,FALSE,FALSE,Young,No Balance,New,1 Product
15727311,539,France,Female,22,0,2,100885.9,38772.7,TRUE,TRUE,FALSE,Young,High Balance,New,2-3 Products
15657937,709,Germany,Male,22,0,1,112949.7,155231.5,FALSE,FALSE,FALSE,Young,High Balance,New,1 Product
15762799,720,Germany,Male,23,0,2,187861.2,104120.2,TRUE,TRUE,FALSE,Young,High Balance,New,2-3 Products
15620505,594,Spain,Female,24,0,1,97378.5,71405.2,TRUE,TRUE,FALSE,Young,Average Balance,New,1 Product
15758726,588,France,Female,24,0,2,0,140586.1,TRUE,TRUE,FALSE,Young,No Balance,New,2-3 Products
15575955,764,France,Female,24,0,2,0,88724.5,TRUE,FALSE,FALSE,Young,No Balance,New,2-3 Products
15779522,736,France,Female,24,0,2,0,109355.7,TRUE,FALSE,TRUE,Young,No Balance,New,2-3 Products
15698167,677,France,Female,24,0,2,148298.6,182914,FALSE,FALSE,FALSE,Young,High Balance,New,2-3 Products
15721116,597,Spain,Male,24,0,2,108058.1,187826.1,TRUE,TRUE,FALSE,Young,High Balance,New,2-3 Products
15778304,646,Germany,Male,24,0,1,92398.1,18897.3,TRUE,TRUE,FALSE,Young,Average Balance,New,1 Product
15725811,705,France,Male,25,0,1,97544.3,59887.2,FALSE,TRUE,FALSE,Young,Average Balance,New,1 Product
15664895,602,France,Female,25,0,2,0,101274.2,TRUE,TRUE,FALSE,Young,No Balance,New,2-3 Products
15639368,732,France,Male,25,0,1,110942.9,172576.6,FALSE,FALSE,FALSE,Young,High Balance,New,1 Product
15675585,416,Germany,Female,25,0,2,97739,160523.3,TRUE,TRUE,FALSE,Young,Average Balance,New,2-3 Products
15674583,768,France,Male,25,0,1,78396.1,8316.2,TRUE,TRUE,FALSE,Young,Average Balance,New,1 Product
15805162,550,France,Male,25,0,2,0,184221.1,TRUE,TRUE,FALSE,Young,No Balance,New,2-3 Products
15726289,645,France,Male,25,0,1,174400.4,42669.4,TRUE,FALSE,FALSE,Young,High Balance,New,1 Product
